seq,category,week,slot,role,tone,tone_label,intent,angle,title_seed
39,디지털스마일치과,1,39,spoke,8,비교분석 중심의,compare,라미vsDSD,라미네이트 단독 vs DSD 통합 설계 — 무엇을 선택할까
40,디지털스마일치과,1,40,spoke,5,스토리텔링 중심의,case-deep,쌍둥이비교,"[케이스] 쌍둥이의 다른 선택 — DSD를 받은 쪽과 안 받은 쪽"
41,임플란트,2,1,pillar,1,전문적이고 신뢰감 있는,overview,총정리,임플란트 완벽 가이드 — 종류·비용·기간·부작용까지 한눈에
42,임플란트,2,2,spoke,2,친근하고 대화체의,pain-point,씹기불편,"음식을 한쪽으로만 씹는 분께 — 임플란트가 필요한 신호"
43,임플란트,2,3,spoke,4,간결하고 명확한,howto,선택기준,좋은 임플란트 고르는 7가지 체크리스트 — 브랜드·재료·진단
44,임플란트,2,4,spoke,8,비교분석 중심의,compare,브랜드비교,스트라우만·오스템·덴티움 — 임플란트 브랜드 솔직 비교
45,임플란트,2,5,spoke,3,설득력 있고 강렬한,urgency,골소실,임플란트 미루면 골소실 — 시간 지날수록 어려워지는 이유
46,임플란트,2,6,spoke,5,스토리텔링 중심의,case-deep,재기,"[케이스] 60대 가장의 임플란트 — 식사의 즐거움을 되찾다"
47,임플란트,2,7,spoke,7,교육적이고 강의형의,theory,골유착,임플란트 골유착의 과학 — 티타늄과 뼈가 결합하는 원리
48,임플란트,2,8,spoke,6,뉴스/저널리즘 스타일의,trend,네비게이션,네비게이션 임플란트 — 0.1mm 정확도 시대의 변화
49,임플란트,2,9,spoke,9,사례연구 중심의,roi,내구성,임플란트 10년 생존율 — 국내외 실제 데이터 비교
50,임플란트,2,10,spoke,10,감성적이고 공감하는,critique,공포해소,"""임플란트 무서워요"" — 통증·시간·비용 3대 공포 풀어주기"
51,임플란트,2,11,spoke,2,친근하고 대화체의,pain-point,발음문제,틀니가 헐거워 발음이 새는 분께 — 임플란트로 해결
52,임플란트,2,12,spoke,4,간결하고 명확한,howto,진료흐름,임플란트 첫 진단부터 보철까지 — 6개월 타임라인 정리
53,임플란트,2,13,spoke,8,비교분석 중심의,compare,1단계vs2단계,1단계 vs 2단계 임플란트 — 수술 횟수와 회복 차이
54,임플란트,2,14,spoke,3,설득력 있고 강렬한,urgency,발치즉시,발치 즉시 임플란트 — 6개월 vs 1일의 결정적 차이
55,임플란트,2,15,spoke,5,스토리텔링 중심의,case-deep,당뇨환자,"[케이스] 당뇨 있는 70대 환자의 임플란트 성공 사례"
56,임플란트,2,16,spoke,7,교육적이고 강의형의,theory,골이식,골이식이란 무엇인가 — 잇몸뼈 부족할 때의 해결책
57,임플란트,2,17,spoke,6,뉴스/저널리즘 스타일의,trend,디지털수술,디지털 가이드 수술 — 절개 없이 끝나는 임플란트 시대
58,임플란트,2,18,spoke,9,사례연구 중심의,roi,총비용,임플란트 평생 비용 — 시술비·유지비·재시술 합산 분석
59,임플란트,2,19,spoke,10,감성적이고 공감하는,critique,저가함정,초저가 임플란트 광고의 함정 — 숨겨진 추가 비용
60,임플란트,2,20,spoke,2,친근하고 대화체의,pain-point,어금니없음,어금니 한 개가 없어진 분께 — 방치하면 안 되는 이유
61,임플란트,2,21,spoke,4,간결하고 명확한,howto,상담준비,임플란트 상담 준비물 — CT·예산·복용약 정리법
62,임플란트,2,22,spoke,8,비교분석 중심의,compare,임플란트vs브릿지,임플란트 vs 브릿지 — 5년 후 누가 더 만족할까
63,임플란트,2,23,spoke,5,스토리텔링 중심의,case-deep,전체임플란트,"[케이스] 전체 임플란트 받은 80대 — 가족과 함께한 식사"
64,임플란트,2,24,spoke,7,교육적이고 강의형의,theory,재료과학,티타늄·지르코니아 임플란트 — 재료별 장단점 분석
65,임플란트,2,25,spoke,6,뉴스/저널리즘 스타일의,trend,즉시부하,즉시 부하 임플란트 — 당일 식사가 가능한 시대
66,임플란트,2,26,spoke,9,사례연구 중심의,roi,건강비용,임플란트와 건강비용 — 영양·소화·뇌 자극의 경제 효과
67,임플란트,2,27,spoke,10,감성적이고 공감하는,critique,수술공포,수술이 무서워 미루는 분께 — 무통 마취·진정의 진실
68,임플란트,2,28,spoke,2,친근하고 대화체의,pain-point,틀니탈락,틀니가 자꾸 빠져 외출이 두려운 분께 — 임플란트 틀니 해결
69,임플란트,2,29,spoke,4,간결하고 명확한,howto,사후관리,임플란트 평생 유지 매뉴얼 — 양치·치실·정기검진
70,임플란트,2,30,spoke,8,비교분석 중심의,compare,국내vs해외,국내 vs 해외 임플란트 — 가격·기술·사후관리 비교
71,임플란트,2,31,spoke,3,설득력 있고 강렬한,urgency,골재생,잇몸뼈 녹기 시작했다면 — 임플란트 마지노선 시기
72,임플란트,2,32,spoke,5,스토리텔링 중심의,case-deep,재시술경험,"[케이스] 다른 곳 임플란트 실패 후 재시술 성공한 환자"
73,임플란트,2,33,spoke,7,교육적이고 강의형의,theory,상악동거상,상악동 거상술이란 — 윗니 임플란트의 핵심 기술
74,임플란트,2,34,spoke,6,뉴스/저널리즘 스타일의,trend,AI진단,AI CT 진단 — 임플란트 위치 결정의 새 표준
75,임플란트,2,35,spoke,9,사례연구 중심의,roi,건강보험,임플란트 건강보험 적용 — 65세 이상 실제 혜택 분석
76,임플란트,2,36,spoke,10,감성적이고 공감하는,critique,후기왜곡,임플란트 후기 사진의 진실 — 보정·각도·조명의 함정
77,임플란트,2,37,spoke,2,친근하고 대화체의,pain-point,잇몸염증,임플란트 후 잇몸이 부었어요 — 흔한 증상과 대처
78,임플란트,2,38,spoke,4,간결하고 명확한,howto,주의사항,임플란트 직후 24시간·1주일·1개월 주의사항
79,임플란트,2,39,spoke,8,비교분석 중심의,compare,당일완성,당일 임플란트 vs 단계별 — 누구에게 어떤 게 맞나
80,임플란트,2,40,spoke,5,스토리텔링 중심의,case-deep,경제적부담,"[케이스] 경제적 부담으로 미뤘던 분의 임플란트 결단 후기"
81,교정,3,1,pillar,1,전문적이고 신뢰감 있는,overview,총정리,치아 교정 완벽 가이드 — 종류·기간·비용·통증까지 한눈에
82,교정,3,2,spoke,2,친근하고 대화체의,pain-point,자신감,"덧니 때문에 사진이 어색한 분께 — 교정으로 달라지는 일상"
83,교정,3,3,spoke,4,간결하고 명확한,howto,진단방법,교정 시작 전 꼭 받는 5가지 진단 — 사진·CT·모형
84,교정,3,4,spoke,8,비교분석 중심의,compare,교정장치,클리피씨 vs 데이몬 vs 인비절라인 — 장치별 비교
85,교정,3,5,spoke,3,설득력 있고 강렬한,urgency,성장기,성장기 교정 골든타임 — 놓치면 수술 교정으로 가는 이유
86,교정,3,6,spoke,5,스토리텔링 중심의,case-deep,어른교정,"[케이스] 40대 직장인의 인비절라인 — 회사 동료도 모른 1년"
87,교정,3,7,spoke,7,교육적이고 강의형의,theory,치아이동,치아가 이동하는 원리 — 압력·골개조의 과학
88,교정,3,8,spoke,6,뉴스/저널리즘 스타일의,trend,투명교정,투명 교정 시장 — 5년간 3배 성장한 진짜 이유
89,교정,3,9,spoke,9,사례연구 중심의,roi,비용시간,교정 2년 비용 vs 효과 — 1일당 가격으로 환산해 보면
90,교정,3,10,spoke,10,감성적이고 공감하는,critique,통증오해,"""교정 너무 아프다""는 오해 — 실제 통증의 정도와 대처"
91,교정,3,11,spoke,2,친근하고 대화체의,pain-point,발음새림,교정 중 발음이 새는 분께 — 적응 노하우와 단계
92,교정,3,12,spoke,4,간결하고 명확한,howto,상담체크,교정 상담에서 꼭 확인할 12가지 — 비용·기간·예후
93,교정,3,13,spoke,8,비교분석 중심의,compare,설측vs순측,설측 교정 vs 순측 교정 — 보이는 차이와 비용 차이
94,교정,3,14,spoke,3,설득력 있고 강렬한,urgency,수술교정,수술 교정의 마지노선 — 비수술로 끝낼 수 있는 마지막 시기
95,교정,3,15,spoke,5,스토리텔링 중심의,case-deep,재교정,"[케이스] 어릴 때 교정 후 재돌출된 분의 재교정 여정"
96,교정,3,16,spoke,7,교육적이고 강의형의,theory,교합진단,교합이란 무엇인가 — 단순히 가지런함이 아닌 이유
97,교정,3,17,spoke,6,뉴스/저널리즘 스타일의,trend,AI교정설계,AI가 설계하는 인비절라인 — 정확도가 달라지는 이유
98,교정,3,18,spoke,9,사례연구 중심의,roi,장기안정,교정 후 10년 — 재교정 비율과 유지장치의 역할
99,교정,3,19,spoke,10,감성적이고 공감하는,critique,급속교정,급속 교정 광고의 함정 — 빠를수록 위험한 이유
100,교정,3,20,spoke,2,친근하고 대화체의,pain-point,턱관절,턱이 자꾸 아프고 소리 나는 분께 — 교정으로 풀리는 케이스
101,교정,3,21,spoke,4,간결하고 명확한,howto,장치관리,교정 장치 관리법 — 식사·양치·치실 단계별
102,교정,3,22,spoke,8,비교분석 중심의,compare,어린이vs어른,어린이 교정 vs 어른 교정 — 무엇이 어떻게 다른가
103,교정,3,23,spoke,5,스토리텔링 중심의,case-deep,중학생,"[케이스] 중학생 자녀의 인비절라인 — 학교생활과 병행"
104,교정,3,24,spoke,7,교육적이고 강의형의,theory,발치교정,발치 교정의 원리 — 왜 빼야 더 잘 들어가는가
105,교정,3,25,spoke,6,뉴스/저널리즘 스타일의,trend,3D스캔,3D 디지털 스캔 교정 — 본뜨기가 사라진 시대
106,교정,3,26,spoke,9,사례연구 중심의,roi,결혼준비,결혼 전 교정 — 시기별 일정과 효과 데이터
107,교정,3,27,spoke,10,감성적이고 공감하는,critique,SNS후기,SNS 교정 후기의 함정 — 빠른 변화 사진의 진실
108,교정,3,28,spoke,2,친근하고 대화체의,pain-point,입돌출,입이 나와 보이는 분께 — 교정으로 옆모습이 달라지는 원리
109,교정,3,29,spoke,4,간결하고 명확한,howto,일정짜기,교정 2년 일정표 — 직장인을 위한 내원 빈도 정리
110,교정,3,30,spoke,8,비교분석 중심의,compare,자가결찰,자가결찰 vs 일반 브라켓 — 통증과 기간 차이
111,교정,3,31,spoke,3,설득력 있고 강렬한,urgency,성인스트레스,성인 교정 미루다 — 잇몸·턱·치아마모로 번지는 결과
112,교정,3,32,spoke,5,스토리텔링 중심의,case-deep,수험생,"[케이스] 수능 끝난 학생의 6개월 인비절라인 변화"
113,교정,3,33,spoke,7,교육적이고 강의형의,theory,유지장치,유지장치의 역할 — 교정 후 10년을 좌우하는 작은 도구
114,교정,3,34,spoke,6,뉴스/저널리즘 스타일의,trend,야간교정,야간 전용 투명 교정 — 직장인을 위한 8시간 교정
115,교정,3,35,spoke,9,사례연구 중심의,roi,학생영향,청소년 교정과 학업·사회성 — 종단 데이터 분석
116,교정,3,36,spoke,10,감성적이고 공감하는,critique,부모오해,"""우리 애는 아직""이라는 부모의 오해 — 진단 시기의 진실"
117,교정,3,37,spoke,2,친근하고 대화체의,pain-point,부정교합,위아래가 안 맞아 음식 끊기 어려운 분께 — 부정교합 해결
118,교정,3,38,spoke,4,간결하고 명확한,howto,비용절약,교정 비용 절약하는 4가지 방법 — 보험·분할·시기
119,교정,3,39,spoke,8,비교분석 중심의,compare,부분교정,부분 교정 vs 전체 교정 — 한계와 적용 케이스
120,교정,3,40,spoke,5,스토리텔링 중심의,case-deep,재출발,"[케이스] 이혼 후 재출발 결심 — 50대 여성의 교정 1년 변화"
121,라미네이트,4,1,pillar,1,전문적이고 신뢰감 있는,overview,총정리,라미네이트 완벽 가이드 — 종류·비용·내구성·관리까지 한눈에
122,라미네이트,4,2,spoke,2,친근하고 대화체의,pain-point,변색,커피·담배로 변색된 앞니 — 라미네이트로 되돌리는 법
123,라미네이트,4,3,spoke,4,간결하고 명확한,howto,상담체크,라미네이트 상담 전 확인할 8가지 — 적응증·예산·디자인
124,라미네이트,4,4,spoke,8,비교분석 중심의,compare,세라믹비교,이맥스 vs 지르코니아 라미네이트 — 심미·내구성 솔직 비교
125,라미네이트,4,5,spoke,3,설득력 있고 강렬한,urgency,손상사례,라미네이트 미루면 더 깎인다 — 마모·금간 치아의 운명
126,라미네이트,4,6,spoke,5,스토리텔링 중심의,case-deep,결혼식,"[케이스] 결혼식 4주 전 시작한 라미네이트 — 사진으로 본 변화"
127,라미네이트,4,7,spoke,7,교육적이고 강의형의,theory,접착원리,라미네이트 접착의 과학 — 30년 가는 본딩의 원리
128,라미네이트,4,8,spoke,6,뉴스/저널리즘 스타일의,trend,무삭제,무삭제 라미네이트 — 치아를 깎지 않는 시대의 진실
129,라미네이트,4,9,spoke,9,사례연구 중심의,roi,장기내구성,라미네이트 10년·20년 후 — 재시술 비율과 비용 분석
130,라미네이트,4,10,spoke,10,감성적이고 공감하는,critique,오해해소,"""라미네이트 하면 치아 다 망가진다""는 오해의 진실"
131,라미네이트,4,11,spoke,2,친근하고 대화체의,pain-point,벌어진앞니,앞니 사이가 벌어져 신경 쓰이는 분께 — 라미네이트 해결
132,라미네이트,4,12,spoke,4,간결하고 명확한,howto,단계,라미네이트 4번 내원 — 진단·삭제·임시·완성 단계
133,라미네이트,4,13,spoke,8,비교분석 중심의,compare,라미vs미백,라미네이트 vs 미백 — 색을 바꾸는 두 방법의 한계
134,라미네이트,4,14,spoke,3,설득력 있고 강렬한,urgency,임시기,라미네이트 임시 보철 기간 — 1주 vs 2주의 차이
135,라미네이트,4,15,spoke,5,스토리텔링 중심의,case-deep,남성고객,"[케이스] 첫 라미네이트 받은 30대 남성의 1년 적응기"
136,라미네이트,4,16,spoke,7,교육적이고 강의형의,theory,두께설계,라미네이트 두께의 비밀 — 0.3mm가 만드는 자연스러움
137,라미네이트,4,17,spoke,6,뉴스/저널리즘 스타일의,trend,디지털설계,디지털 라미네이트 설계 — 환자가 직접 보는 미리보기
138,라미네이트,4,18,spoke,9,사례연구 중심의,roi,비용내역,라미네이트 비용 구조 — 진단·재료·기공·시술 분해
139,라미네이트,4,19,spoke,10,감성적이고 공감하는,critique,SNS왜곡,SNS 라미네이트 사진의 진실 — 색·각도·필터의 함정
140,라미네이트,4,20,spoke,2,친근하고 대화체의,pain-point,앞니길이,앞니가 짧고 사각형이라 답답한 분께 — 라미네이트 해결
141,라미네이트,4,21,spoke,4,간결하고 명확한,howto,사후관리,라미네이트 평생 관리 — 식사·양치·정기검진 매뉴얼
142,라미네이트,4,22,spoke,8,비교분석 중심의,compare,적응증,라미네이트 vs 크라운 — 치아 손상 정도별 선택 기준
143,라미네이트,4,23,spoke,5,스토리텔링 중심의,case-deep,재시술,"[케이스] 다른 곳 실패한 라미네이트의 재시술 회복기"
144,라미네이트,4,24,spoke,7,교육적이고 강의형의,theory,색일치,주변 치아와 색 맞추기 — 자연스러움의 4단계 평가
145,라미네이트,4,25,spoke,6,뉴스/저널리즘 스타일의,trend,AI색매칭,AI 색 매칭 라미네이트 — 자연스러움의 새 표준
146,라미네이트,4,26,spoke,9,사례연구 중심의,roi,자기관리,라미네이트와 자기관리 — 흡연·커피 습관별 수명 차이
147,라미네이트,4,27,spoke,10,감성적이고 공감하는,critique,후회사례,라미네이트 후회하는 분의 공통점 — 사전 상담의 중요성
148,라미네이트,4,28,spoke,2,친근하고 대화체의,pain-point,오래된보철,오래된 앞니 보철이 어색해 보이는 분께 — 라미네이트 교체
149,라미네이트,4,29,spoke,4,간결하고 명확한,howto,사진준비,라미네이트 상담 시 가져갈 사진 4종 — 정면·측면·웃을때
150,라미네이트,4,30,spoke,8,비교분석 중심의,compare,접착방식,즉시 접착 vs 단계 접착 — 라미네이트 결과 차이
151,라미네이트,4,31,spoke,3,설득력 있고 강렬한,urgency,골든시기,라미네이트 시기 미루지 마세요 — 잇몸 라인 변화의 영향
152,라미네이트,4,32,spoke,5,스토리텔링 중심의,case-deep,모자함께,"[케이스] 어머니와 딸이 함께 받은 라미네이트 — 가족 케이스"
153,라미네이트,4,33,spoke,7,교육적이고 강의형의,theory,형태설계,치아 형태 설계 — 둥근형·사각형·삼각형의 인상 차이
154,라미네이트,4,34,spoke,6,뉴스/저널리즘 스타일의,trend,3D프린팅,3D 프린팅 임시 라미네이트 — 1일 완성 시대
155,라미네이트,4,35,spoke,9,사례연구 중심의,roi,직업영향,라미네이트와 직업 — 영업·서비스직의 만족도 데이터
156,라미네이트,4,36,spoke,10,감성적이고 공감하는,critique,저가위험,초저가 라미네이트의 위험 — 재료·기공·기술의 차이
157,라미네이트,4,37,spoke,2,친근하고 대화체의,pain-point,웨딩촬영,웨딩촬영 한 달 전인데 가능할까요 — 라미네이트 일정
158,라미네이트,4,38,spoke,4,간결하고 명확한,howto,주의사항,라미네이트 직후 24시간·1주·1개월 주의사항
159,라미네이트,4,39,spoke,8,비교분석 중심의,compare,부분vs전체,부분 라미네이트 vs 전체 라미네이트 — 자연스러움의 차이
160,라미네이트,4,40,spoke,5,스토리텔링 중심의,case-deep,셀프이미지,"[케이스] 라미네이트 후 SNS 활동을 시작한 30대"
161,보철,5,1,pillar,1,전문적이고 신뢰감 있는,overview,총정리,치과 보철 완벽 가이드 — 종류·비용·내구성·관리까지 한눈에
162,보철,5,2,spoke,2,친근하고 대화체의,pain-point,파절,갈라지거나 깨진 치아 — 보철로 살리는 법과 시기
163,보철,5,3,spoke,4,간결하고 명확한,howto,선택기준,보철 선택의 7가지 기준 — 위치·하중·심미·비용
164,보철,5,4,spoke,8,비교분석 중심의,compare,크라운재료,지르코니아 vs PFM vs 골드 — 크라운 재료 솔직 비교
165,보철,5,5,spoke,3,설득력 있고 강렬한,urgency,크랙진행,치아 크랙은 시간이 약이 아니다 — 빠를수록 보철이 작다
166,보철,5,6,spoke,5,스토리텔링 중심의,case-deep,어금니파절,"[케이스] 어금니 파절로 임플란트 직전 보철로 살린 사례"
167,보철,5,7,spoke,7,교육적이고 강의형의,theory,교합하중,보철과 교합 — 어금니 1cm²가 견디는 70kg의 비밀
168,보철,5,8,spoke,6,뉴스/저널리즘 스타일의,trend,모놀리식,모놀리식 지르코니아 — 깨지지 않는 보철의 시대
169,보철,5,9,spoke,9,사례연구 중심의,roi,수명비용,보철 수명 vs 비용 — 1년당 가격으로 환산한 가성비
170,보철,5,10,spoke,10,감성적이고 공감하는,critique,저가오해,"""싸게 끝내고 싶다""는 오해 — 보철은 재시술이 더 비싸다"
171,보철,5,11,spoke,2,친근하고 대화체의,pain-point,시린이,찬물에 시린 치아 — 보철로 보호하는 시점
172,보철,5,12,spoke,4,간결하고 명확한,howto,상담준비,보철 상담 준비 — X-ray·CT·복용약·예산 정리
173,보철,5,13,spoke,8,비교분석 중심의,compare,인레이비교,인레이 vs 크라운 — 어디까지 깎을지 결정 기준
174,보철,5,14,spoke,3,설득력 있고 강렬한,urgency,신경치료,신경치료 후 보철 미루면 — 치아 쪼개짐의 진짜 원인
175,보철,5,15,spoke,5,스토리텔링 중심의,case-deep,재시술,"[케이스] 20년 된 PFM 크라운을 지르코니아로 교체한 결과"
176,보철,5,16,spoke,7,교육적이고 강의형의,theory,접착원리,보철 접착의 과학 — 시멘트 종류와 30년 차이
177,보철,5,17,spoke,6,뉴스/저널리즘 스타일의,trend,디지털기공,디지털 기공실 — 본뜨기 없는 1일 보철 시대
178,보철,5,18,spoke,9,사례연구 중심의,roi,수리비교,보철 수리 vs 재제작 — 어떤 경우 어떻게 결정할까
179,보철,5,19,spoke,10,감성적이고 공감하는,critique,후회사례,보철 후회하는 분의 공통점 — 진단 단계 5분의 차이
180,보철,5,20,spoke,2,친근하고 대화체의,pain-point,꽉찬느낌,보철 후 입이 답답한 분께 — 교합 조정의 중요성
181,보철,5,21,spoke,4,간결하고 명확한,howto,사후관리,보철 후 평생 관리 — 식사·치실·정기검진
182,보철,5,22,spoke,8,비교분석 중심의,compare,기공방식,수작업 기공 vs 디지털 기공 — 정확도와 속도 비교
183,보철,5,23,spoke,5,스토리텔링 중심의,case-deep,중년직장인,"[케이스] 영업직 50대의 어금니 보철 재시술 만족도"
184,보철,5,24,spoke,7,교육적이고 강의형의,theory,심미보철,심미 보철의 4대 기준 — 색·형태·투명도·잇몸
185,보철,5,25,spoke,6,뉴스/저널리즘 스타일의,trend,재료혁신,세라믹 보철 신소재 — 깨지지 않으면서 자연스러운 시대
186,보철,5,26,spoke,9,사례연구 중심의,roi,장기데이터,보철 10년·20년 — 재시술 비율과 유지비 데이터
187,보철,5,27,spoke,10,감성적이고 공감하는,critique,수명오해,"""평생 가는 보철""의 오해 — 모든 보철의 한계 수명"
188,보철,5,28,spoke,2,친근하고 대화체의,pain-point,충치재발,오래된 충치 보철 밑 재발 — 즉시 교체해야 하는 신호
189,보철,5,29,spoke,4,간결하고 명확한,howto,교체타이밍,보철 교체 타이밍 — 변색·틈·통증의 3대 신호
190,보철,5,30,spoke,8,비교분석 중심의,compare,보철vs임플란트,보철 vs 임플란트 — 자연치아를 살리는 마지막 선택
191,보철,5,31,spoke,3,설득력 있고 강렬한,urgency,골든타임,보철 골든타임 — 이 시기 놓치면 발치로 가는 이유
192,보철,5,32,spoke,5,스토리텔링 중심의,case-deep,심미회복,"[케이스] 앞니 4개 변색 환자의 심미 보철 변신기"
193,보철,5,33,spoke,7,교육적이고 강의형의,theory,교합높이,보철의 교합 높이 — 0.5mm가 만드는 턱관절 차이
194,보철,5,34,spoke,6,뉴스/저널리즘 스타일의,trend,챕사이드,챱사이드(Chair-side) CAD/CAM — 1일 완성 보철의 진실
195,보철,5,35,spoke,9,사례연구 중심의,roi,보험적용,보철 건강보험 적용 범위 — 실제 본인부담 금액
196,보철,5,36,spoke,10,감성적이고 공감하는,critique,급한결정,급하게 결정한 보철의 후회 — 한 번 더 생각하는 체크리스트
197,보철,5,37,spoke,2,친근하고 대화체의,pain-point,오래된금니,오래된 금니가 걸리는 분께 — 교체 시기의 신호
198,보철,5,38,spoke,4,간결하고 명확한,howto,주의사항,보철 직후 24시간·1주·1개월 — 단계별 주의사항
199,보철,5,39,spoke,8,비교분석 중심의,compare,수입vs국산,수입 세라믹 vs 국산 — 가격과 품질의 진짜 차이
200,보철,5,40,spoke,5,스토리텔링 중심의,case-deep,가족케이스,"[케이스] 부부가 함께 받은 보철 — 같은 재료 다른 만족도"
201,틀니,6,1,pillar,1,전문적이고 신뢰감 있는,overview,총정리,틀니 완벽 가이드 — 종류·비용·적응기간·관리까지 한눈에
